Wafer,Pattern ID,X,Y,Probe configuration,Type (resistor/cap/...),Test setup/input parameters,Expected results,Layers,Comments
Danube River(GF180),METAL5_V_20,0,5000,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL5_H_20,527800,63860,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL2_V_20,1069860,152540,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL3_V_20,1457260,152540,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL4_V_20,1844660,152540,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL2_H_20,2232060,204260,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL3_H_20,0,438320,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL4_H_20,396320,438320,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL5_V_10,792640,427660,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL5_H_10,1141040,477320,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL2_V_10,1496800,455320,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL3_V_10,1775000,455320,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL4_V_10,2053200,455320,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL5_V_5,2331400,455570,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL2_H_10,2590100,493920,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL3_H_10,0,701220,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL4_H_10,282920,701220,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL1_V_20,565840,661720,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL5_H_5,785440,701720,Kelvin,Resistor,I-V,,,
Danube River(GF180),METAL1_H_20,1048050,699420,Kelvin,Resistor,I-V,,,
Danube River(GF180),NWELL_H_1,1289295,704020,Kelvin,Resistor,I-V,,,
Danube River(GF180),NWELL_V_1,1453295,704020,Kelvin,Resistor,I-V,,,
Danube River(GF180),NWELL_H_2,1617295,704020,Kelvin,Resistor,I-V,,,
Danube River(GF180),NWELL_V_2,1781295,704020,Kelvin,Resistor,I-V,,,
